1.000000,0.114211,0.012078,-0.003643,-0.000561,0.003772,0.042570,-0.012923,-0.012818,0.001731,0.028170,0.000000
1.000000,-0.006337,0.021765,-0.007942,0.000007,0.000697,0.042563,-0.013253,-0.012375,0.001297,0.027351,0.000000
1.000000,0.019158,0.025581,-0.000135,0.000106,0.000860,0.042559,-0.013292,-0.012399,0.001580,0.027566,0.000000
1.000000,0.002121,0.036850,0.002467,0.000855,0.001168,0.042459,-0.014061,-0.013461,-0.000273,0.026322,0.000000
1.000000,0.010543,0.027939,0.010316,-0.000443,0.000044,0.042349,-0.014163,-0.014066,-0.001368,0.026476,0.000000
1.000000,-0.002051,0.004687,0.008382,0.000160,-0.000277,0.042743,-0.017120,-0.012385,0.002452,0.023798,0.000000
1.000000,0.025357,0.011025,0.016395,-0.000204,0.001305,0.043041,-0.017535,-0.014892,0.001805,0.025192,0.000000
1.000000,0.002557,0.007705,0.016643,0.001161,0.000463,0.043210,-0.018660,-0.016391,0.002806,0.025461,0.000000
1.000000,0.016713,0.010624,0.023737,0.002974,0.000557,0.043723,-0.018633,-0.018000,0.002401,0.028453,0.000000
1.000000,-0.000452,0.008425,0.018182,0.003273,0.001161,0.043750,-0.021114,-0.017465,0.002297,0.023159,0.000000
1.000000,0.020343,0.012904,0.008795,0.002576,0.002557,0.043514,-0.022867,-0.016998,0.002901,0.020445,0.000000
1.000000,-0.004936,0.006845,0.008935,0.000497,0.002983,0.042938,-0.024507,-0.016584,0.000392,0.017778,0.000000
1.000000,0.061410,0.018616,0.013161,0.006513,0.004458,0.044010,-0.023651,-0.018720,0.004663,0.025963,0.000000
1.000000,0.028442,0.020962,0.015793,0.009130,0.005834,0.044386,-0.022223,-0.019480,0.002964,0.029037,0.000000
1.000000,0.026335,0.026319,0.017372,0.013844,0.005495,0.043780,-0.021133,-0.021173,0.000383,0.028198,0.000000
1.000000,-0.005743,0.021102,0.017003,0.012692,0.005775,0.043517,-0.022644,-0.020444,-0.000548,0.023981,0.000000
1.000000,-0.008007,0.020487,0.013666,0.015031,0.004419,0.042590,-0.020439,-0.016551,0.003333,0.026398,0.000000
1.000000,-0.025329,0.003139,0.010878,0.013760,0.004400,0.042773,-0.021052,-0.017067,0.003351,0.026662,0.000000
