20121003,    0.36,   -0.68,   -0.03,   -0.39,    0.43,   0.000
20121004,    0.76,   -0.08,    0.70,   -0.14,    0.21,   0.000
20121005,   -0.03,   -0.17,    0.23,   -0.13,    0.62,   0.000
20121008,   -0.36,   -0.20,    0.19,    0.02,    0.08,   0.000
20121009,   -1.05,   -0.26,    0.33,    0.12,    0.09,   0.000
20121010,   -0.58,    0.40,    0.28,   -0.36,    0.29,   0.000
20121011,    0.11,    0.35,    0.62,   -0.18,    0.12,   0.000
20121012,   -0.34,   -0.39,   -0.87,    0.53,   -0.19,   0.000
20121015,    0.79,   -0.20,    0.12,   -0.23,    0.28,   0.000
20121016,    1.00,   -0.28,   -0.22,    0.21,   -0.58,   0.000
20121017,    0.49,    0.25,    1.05,   -0.61,    0.41,   0.000
20121018,   -0.31,   -0.49,    0.24,   -0.06,    0.46,   0.000
20121019,   -1.68,   -0.35,    0.46,   -0.12,    0.42,   0.000
20121022,    0.01,   -0.07,    0.18,    0.14,   -0.19,   0.000
20121023,   -1.29,    0.91,   -0.49,   -0.04,   -0.03,   0.000
20121024,   -0.28,   -0.16,    0.41,   -0.43,    0.18,   0.000
20121025,    0.27,    0.23,    0.03,    0.07,   -0.09,   0.000
20121026,   -0.07,   -0.20,   -0.43,    0.38,   -0.21,   0.000
20121031,    0.14,    0.56,    0.37,    0.04,    0.10,   0.000
20121101,    1.19,    0.24,    0.14,    0.25,    0.03,   0.000
20121102,   -1.04,   -0.47,    0.24,    0.31,    0.46,   0.000
20121105,    0.28,    0.38,   -0.22,   -0.10,   -0.21,   0.000
20121106,    0.80,    0.02,    0.53,    0.23,    0.15,   0.000
20121107,   -2.31,   -0.21,   -1.34,    0.23,    0.08,   0.000
20121108,   -1.24,   -0.24,    0.44,   -0.26,    0.37,   0.000
20121109,    0.15,   -0.01,   -0.11,    0.02,   -0.08,   0.000
20121112,    0.00,   -0.16,    0.02,    0.06,    0.01,   0.000
20121113,   -0.40,   -0.22,   -0.29,    0.02,    0.24,   0.000
20121114,   -1.40,   -0.38,   -0.19,    0.09,   -0.26,   0.000
20121115,   -0.24,   -0.33,    0.22,    0.13,   -0.01,   0.000
20121116,    0.58,    0.03,    0.07,   -0.35,    0.21,   0.000
20121119,    1.98,    0.24,   -0.06,    0.45,   -0.18,   0.000
20121120,    0.11,   -0.05,    0.17,   -0.36,    0.17,   0.000
20121121,    0.31,    0.34,   -0.15,   -0.02,    0.09,   0.000
20121123,    1.28,   -0.15,    0.08,    0.12,   -0.02,   0.000
20121126,   -0.14,    0.51,   -0.18,   -0.08,   -0.28,   0.000
20121127,   -0.43,    0.40,   -0.20,    0.00,    0.02,   0.000
