date,sprtrn
2023/1/3,-0.4001
2023/1/4,0.7539
2023/1/5,-1.1646
2023/1/6,2.2841
2023/1/9,-0.0768
2023/1/10,0.6978
2023/1/11,1.2849
2023/1/12,0.3416
2023/1/13,0.3997
2023/1/17,-0.203
2023/1/18,-1.5563
2023/1/19,-0.7638
2023/1/20,1.8918
2023/1/23,1.1881
2023/1/24,-0.0711
2023/1/25,-0.0182
2023/1/26,1.1008
2023/1/27,0.2495
2023/1/30,-1.2969
2023/1/31,1.4642
2023/2/1,1.0452
2023/2/2,1.4699
2023/2/3,-1.0355
2023/2/6,-0.614
2023/2/7,1.2873
2023/2/8,-1.1081
2023/2/9,-0.883
2023/2/10,0.2195
2023/2/13,1.1449
2023/2/14,-0.028
2023/2/15,0.2773
2023/2/16,-1.3789
2023/2/17,-0.2767
2023/2/21,-2.0041
2023/2/22,-0.1574
2023/2/23,0.5329
2023/2/24,-1.0538
2023/2/27,0.3073
2023/2/28,-0.3036
2023/3/1,-0.4725
2023/3/2,0.7582
2023/3/3,1.6148
2023/3/6,0.0687
2023/3/7,-1.5327
2023/3/8,0.1415
2023/3/9,-1.8459
2023/3/10,-1.4478
2023/3/13,-0.151
2023/3/14,1.6477
2023/3/15,-0.6981
2023/3/16,1.7562
2023/3/17,-1.1019
2023/3/20,0.8918
2023/3/21,1.2982
2023/3/22,-1.6463
2023/3/23,0.2985
2023/3/24,0.564
2023/3/27,0.1647
2023/3/28,-0.1574
2023/3/29,1.4237
2023/3/30,0.5715
2023/3/31,1.4437
2023/4/3,0.3699
2023/4/4,-0.5797
2023/4/5,-0.2492
2023/4/6,0.3579
2023/4/10,0.0996
2023/4/11,-0.0041
2023/4/12,-0.4135
2023/4/13,1.3263
2023/4/14,-0.2069
2023/4/17,0.3306
2023/4/18,0.0855
2023/4/19,-0.0084
2023/4/20,-0.5953
2023/4/21,0.0903
2023/4/24,0.0852
2023/4/25,-1.5811
2023/4/26,-0.3841
2023/4/27,1.9566
2023/4/28,0.8253
2023/5/1,-0.0386
2023/5/2,-1.1586
2023/5/3,-0.6998
2023/5/4,-0.7219
2023/5/5,1.8475
2023/5/8,0.0452
2023/5/9,-0.4579
2023/5/10,0.4484
2023/5/11,-0.1697
2023/5/12,-0.1583
2023/5/15,0.2958
2023/5/16,-0.6378
2023/5/17,1.1891
2023/5/18,0.9445
2023/5/19,-0.1446
2023/5/22,0.0155
2023/5/23,-1.1222
2023/5/24,-0.7319
2023/5/25,0.8758
2023/5/26,1.3049
2023/5/30,0.0017
2023/5/31,-0.6109
2023/6/1,0.9854
2023/6/2,1.4534
2023/6/5,-0.2004
2023/6/6,0.2354
2023/6/7,-0.3812
2023/6/8,0.6189
2023/6/9,0.1148
2023/6/12,0.9321
2023/6/13,0.6933
2023/6/14,0.0819
2023/6/15,1.2178
2023/6/16,-0.3672
2023/6/20,-0.4735
2023/6/21,-0.5245
2023/6/22,0.3711
2023/6/23,-0.7659
2023/6/26,-0.4487
2023/6/27,1.1456
2023/6/28,-0.0354
2023/6/29,0.4474
2023/6/30,1.2269
2023/7/3,0.1171
2023/7/5,-0.1968
2023/7/6,-0.7923
2023/7/7,-0.2865
2023/7/10,0.2405
2023/7/11,0.6742
2023/7/12,0.7411
2023/7/13,0.847
2023/7/14,-0.1024
2023/7/17,0.3855
2023/7/18,0.7117
2023/7/19,0.2358
2023/7/20,-0.6757
2023/7/21,0.0324
2023/7/24,0.4034
2023/7/25,0.2815
2023/7/26,-0.0155
2023/7/27,-0.6425
2023/7/28,0.9878
2023/7/31,0.1469
2023/8/1,-0.2665
2023/8/2,-1.384
2023/8/3,-0.2548
2023/8/4,-0.53
2023/8/7,0.9024
2023/8/8,-0.4218
2023/8/9,-0.7039
2023/8/10,0.0251
2023/8/11,-0.107
2023/8/14,0.575
2023/8/15,-1.1551
2023/8/16,-0.7555
2023/8/17,-0.7713
2023/8/18,-0.0149
2023/8/21,0.6879
2023/8/22,-0.2777
2023/8/23,1.1045
2023/8/24,-1.3458
2023/8/25,0.6718
2023/8/28,0.6265
2023/8/29,1.4508
2023/8/30,0.3833
2023/8/31,-0.1597
2023/9/1,0.1799
2023/9/5,-0.4194
2023/9/6,-0.6972
2023/9/7,-0.3211
2023/9/8,0.1427
2023/9/11,0.6724
2023/9/12,-0.5696
2023/9/13,0.1242
2023/9/14,0.843
2023/9/15,-1.216
2023/9/18,0.0721
2023/9/19,-0.2151
2023/9/20,-0.9395
2023/9/21,-1.6401
2023/9/22,-0.2296
2023/9/25,0.4023
2023/9/26,-1.4735
2023/9/27,0.0229
2023/9/28,0.5893
2023/9/29,-0.2709
2023/10/2,0.0079
2023/10/3,-1.3744
2023/10/4,0.811
2023/10/5,-0.1304
2023/10/6,1.1815
2023/10/9,0.6304
2023/10/10,0.5208
2023/10/11,0.4293
2023/10/12,-0.6246
2023/10/13,-0.5019
2023/10/16,1.0594
2023/10/17,-0.0098
2023/10/18,-1.34
2023/10/19,-0.8483
2023/10/20,-1.2585
2023/10/23,-0.1686
2023/10/24,0.7266
2023/10/25,-1.434
2023/10/26,-1.1833
2023/10/27,-0.48
2023/10/30,1.201
2023/10/31,0.6475
2023/11/1,1.0506
2023/11/2,1.8859
2023/11/3,0.9394
2023/11/6,0.1753
2023/11/7,0.284
2023/11/8,0.1005
2023/11/9,-0.8084
2023/11/10,1.5616
2023/11/13,-0.0836
2023/11/14,1.9075
2023/11/15,0.1597
2023/11/16,0.119
2023/11/17,0.1282
2023/11/20,0.739
2023/11/21,-0.2021
2023/11/22,0.4061
2023/11/24,0.0597
2023/11/27,-0.1954
2023/11/28,0.098
2023/11/29,-0.0946
2023/11/30,0.3784
2023/12/1,0.5874
2023/12/4,-0.5408
2023/12/5,-0.0569
2023/12/6,-0.3906
2023/12/7,0.7968
2023/12/8,0.4095
2023/12/11,0.3925
2023/12/12,0.4599
2023/12/13,1.3651
2023/12/14,0.2647
2023/12/15,-0.0076
2023/12/18,0.4528
2023/12/19,0.5866
2023/12/20,-1.4684
2023/12/21,1.0301
2023/12/22,0.166
2023/12/26,0.4232
2023/12/27,0.143
2023/12/28,0.037
2023/12/29,-0.2826
