,Mkt-RF,SMB,HML,RMW,CMA,RF
20100104,1.69,0.79,1.13,-0.17,0.21,0
20100105,0.31,-0.41,1.24,-0.19,0.19,0
20100106,0.13,-0.13,0.57,-0.05,0.2,0
20100107,0.4,0.25,0.98,-0.69,0.22,0
20100108,0.33,0.32,0.01,0.22,-0.37,0
20100111,0.13,-0.13,-0.25,0.19,0.59,0
20100112,-1,-0.36,-1.28,0.49,-0.04,0
20100113,0.85,0.32,0.33,-0.36,0.08,0
20100114,0.24,0.24,0.08,-0.29,-0.02,0
20100115,-1.12,-0.19,-0.39,0.61,-0.15,0
20100119,1.26,0.42,-0.21,-0.1,0.01,0
20100120,-0.98,-0.54,0.24,-0.57,-0.14,0
20100121,-1.74,0.13,-1.12,-0.02,-0.45,0
20100122,-2.14,0.51,-0.89,0.46,0,0
20100125,0.37,-0.2,0.33,0.09,0.11,0
20100126,-0.45,-0.23,-0.48,0.38,-0.05,0
20100127,0.53,0.23,0.22,-0.95,-0.04,0
20100128,-1.18,-0.51,0.43,-0.03,0.07,0
20100129,-0.97,-0.08,-0.42,-0.2,0.18,0
20100201,1.39,-0.14,0.88,-0.15,0.71,0
20100202,1.21,-0.27,0.64,0.3,0.72,0
20100203,-0.49,0.02,-0.37,0.23,-0.09,0
20100204,-3.14,-0.33,-1.18,0.44,-0.06,0
20100205,0.29,-0.06,0.01,-0.65,-0.15,0
20100208,-0.79,-0.05,-0.36,0.14,0.16,0
20100209,1.33,0.37,0.57,0.34,0.4,0
20100210,-0.17,0.29,0.31,-0.53,-0.07,0
20100211,1.13,0.67,0.05,0.05,-0.19,0
20100212,-0.07,0.97,0.15,-0.2,0.27,0
20100216,1.75,-0.14,1.01,0,0.09,0
20100217,0.49,0.15,0.12,0.19,-0.05,0
20100218,0.62,0.1,0.01,0.24,-0.12,0
20100219,0.28,0.09,0.48,-0.24,-0.02,0
20100222,-0.05,0.01,0.6,-0.77,-0.11,0
20100223,-1.24,0.18,-0.94,0.31,-0.04,0
20100224,0.94,-0.27,0.54,-0.25,0,0
20100225,-0.13,0.27,0.26,0.15,-0.05,0
20100226,0.13,-0.42,0.42,0.09,-0.03,0
20100301,1.2,1.21,0.04,0.09,0.51,0
20100302,0.32,0.63,0.19,-0.17,-0.08,0
20100303,0.09,0.14,0.09,0.06,0.28,0
20100304,0.37,0.17,0.2,0,0.25,0
20100305,1.43,0.52,0.63,-0.17,0.25,0
20100308,0.02,0.13,0.3,-0.19,0.12,0
20100309,0.21,0.25,-0.09,-0.01,0.02,0
20100310,0.53,0.17,0.71,-0.51,0.3,0
20100311,0.43,-0.06,-0.09,-0.23,0.13,0
20100312,-0.02,0.01,-0.26,0.51,-0.09,0
20100315,-0.02,-0.36,-0.45,0.19,-0.08,0
20100316,0.78,-0.08,0.57,-0.2,0.17,0
20100317,0.57,0.08,0.36,-0.13,0.06,0
20100318,-0.1,-0.25,-0.57,0.11,0.08,0
20100319,-0.62,-0.65,-0.63,0.04,-0.5,0
20100322,0.67,0.84,0.04,0.12,0.07,0
20100323,0.8,0.39,0.33,-0.02,0.12,0
20100324,-0.6,-0.5,0.8,-0.37,0.06,0
20100325,-0.26,-0.49,-0.25,-0.12,-0.03,0
20100326,0.06,-0.08,0.26,0.04,0.13,0
20100329,0.59,-0.04,0.2,0.27,0.11,0
20100330,0.04,0.22,-0.45,0.31,-0.19,0
20100331,-0.36,-0.45,0.2,-0.24,-0.07,0
20100401,0.75,0.07,0.79,0.13,0.38,0.001
20100405,0.95,1.13,0.85,-0.14,0.31,0.001
20100406,0.19,0.33,0.48,-0.26,-0.12,0.001
20100407,-0.48,0.2,0.27,-0.09,0.18,0.001
20100408,0.31,-0.23,0.36,-0.04,0.22,0.001
20100409,0.66,-0.15,0.15,0.27,0.22,0.001
